UID        PID  PPID  C STIME TTY          TIME CMD
root         1     0  0 Mar04 ?        01:31:50 /usr/lib/systemd/systemd --switched-root --system --deserialize 21
root         2     0  0 Mar04 ?        00:00:00 [kthreadd]
root         3     2  0 Mar04 ?        00:00:00 [rcu_gp]
root         4     2  0 Mar04 ?        00:00:00 [rcu_par_gp]
root         6     2  0 Mar04 ?        00:00:00 [kworker/0:0H-xf]
root         8     2  0 Mar04 ?        00:00:00 [mm_percpu_wq]
root         9     2  0 Mar04 ?        00:05:02 [ksoftirqd/0]
root        10     2  0 Mar04 ?        00:20:21 [rcu_sched]
root        11     2  0 Mar04 ?        00:00:22 [migration/0]
root        13     2  0 Mar04 ?        00:00:00 [cpuhp/0]
root        14     2  0 Mar04 ?        00:00:00 [cpuhp/1]
root        15     2  0 Mar04 ?        00:00:14 [migration/1]
root        16     2  0 Mar04 ?        00:05:58 [ksoftirqd/1]
root        18     2  0 Mar04 ?        00:00:00 [kworker/1:0H-xf]
root        19     2  0 Mar04 ?        00:00:00 [cpuhp/2]
root        20     2  0 Mar04 ?        00:00:22 [migration/2]
root        21     2  0 Mar04 ?        00:03:08 [ksoftirqd/2]
root        23     2  0 Mar04 ?        00:00:00 [kworker/2:0H-kb]
root        24     2  0 Mar04 ?        00:00:00 [cpuhp/3]
root        25     2  0 Mar04 ?        00:00:14 [migration/3]
root        26     2  0 Mar04 ?        00:04:16 [ksoftirqd/3]
root        28     2  0 Mar04 ?        00:00:00 [kworker/3:0H-kb]
root        30     2  0 Mar04 ?        00:00:00 [kdevtmpfs]
root        31     2  0 Mar04 ?        00:00:00 [netns]
root        35     2  0 Mar04 ?        00:00:00 [kauditd]
root       134     2  0 Mar04 ?        00:00:02 [khungtaskd]
root       137     2  0 Mar04 ?        00:00:00 [oom_reaper]
root       141     2  0 Mar04 ?        00:00:00 [writeback]
root       145     2  0 Mar04 ?        00:00:00 [kcompactd0]
root       251     2  0 Mar04 ?        00:00:00 [ksmd]
root       252     2  0 Mar04 ?        00:00:03 [khugepaged]
root       307     2  0 Mar04 ?        00:00:00 [kintegrityd]
root       308     2  0 Mar04 ?        00:00:00 [kblockd]
root       310     2  0 Mar04 ?        00:00:00 [blkcg_punt_bio]
root       426     2  0 Mar04 ?        00:00:00 [tpm_dev_wq]
root       432     2  0 Mar04 ?        00:00:00 [md]
root       435     2  0 Mar04 ?        00:00:00 [edac-poller]
root       440     2  0 Mar04 ?        00:00:00 [watchdogd]
root       514  3870  0 Mar06 ?        00:19:25 containerd-shim -namespace moby -workdir /var/lib/containerd/io.containerd.runtime.v1.linux/moby/a4bb7035473445d5afe0d8ae0555172bb7dc1369e1b65cc1c7cb61b313c34259 -address /run/containerd/containerd.sock -containerd-binary /usr/bin/containerd -runtime-root /var/run/docker/runtime-runc
100        538   514  0 Mar06 ?        00:00:00 /usr/bin/dumb-init /bin/sh /usr/local/bin/docker-entrypoint.sh consul agent -advertise=100.66.2.66 -bind=0.0.0.0 -bootstrap-expect=3 -client=0.0.0.0 -config-dir=/consul/config -datacenter=dc1 -data-dir=/consul/data -domain=consul -hcl=connect { enabled = true } -ui -retry-join=consul-server-0.consul-server.persistent.svc:8301 -retry-join=consul-server-1.consul-server.persistent.svc:8301 -retry-join=consul-server-2.consul-server.persistent.svc:8301 -serf-lan-port=8301 -config-file=/consul/extra-config/extra-from-values.json -server
root       577     2  0 Mar04 ?        00:00:05 [kswapd0]
100        579   538  0 Mar06 ?        02:01:59 consul agent -advertise=100.66.2.66 -bind=0.0.0.0 -bootstrap-expect=3 -client=0.0.0.0 -config-dir=/consul/config -datacenter=dc1 -data-dir=/consul/data -domain=consul -hcl=connect { enabled = true } -ui -retry-join=consul-server-0.consul-server.persistent.svc:8301 -retry-join=consul-server-1.consul-server.persistent.svc:8301 -retry-join=consul-server-2.consul-server.persistent.svc:8301 -serf-lan-port=8301 -config-file=/consul/extra-config/extra-from-values.json -server
root       582  3870  0 Mar06 ?        00:00:22 containerd-shim -namespace moby -workdir /var/lib/containerd/io.containerd.runtime.v1.linux/moby/31c01778c799500af1d4954cb0533a0ec708c49738ec2e4076fcd6f2fedad3ce -address /run/containerd/containerd.sock -containerd-binary /usr/bin/containerd -runtime-root /var/run/docker/runtime-runc
1337       625   582  0 Mar06 ?        00:29:20 /usr/local/bin/pilot-agent proxy sidecar --domain persistent.svc.cluster.local --proxyLogLevel=warning --proxyComponentLogLevel=misc:error --log_output_level=default:info --concurrency 2
1337       664   625  0 Mar06 ?        01:41:00 /usr/local/bin/envoy -c etc/istio/proxy/envoy-rev0.json --restart-epoch 0 --drain-time-s 45 --drain-strategy immediate --parent-shutdown-time-s 60 --local-address-ip-version v4 --file-flush-interval-msec 1000 --disable-hot-restart --log-format %Y-%m-%dT%T.%fZ?%l?envoy %n?%v -l warning --component-log-level misc:error --concurrency 2
root       698     2  0 Mar04 ?        00:00:00 [xfsalloc]
root       701     2  0 Mar04 ?        00:00:00 [xfs_mru_cache]
root       708     2  0 Mar04 ?        00:00:00 [kthrotld]
root       751     2  0 Mar04 ?        00:00:00 [nvme-wq]
root       752     2  0 Mar04 ?        00:00:00 [nvme-reset-wq]
root       754     2  0 Mar04 ?        00:00:00 [nvme-delete-wq]
root       792     2  0 Mar04 ?        00:00:00 [ipv6_addrconf]
root       802     2  0 Mar04 ?        00:00:00 [kstrp]
root      1152  3870  0 Mar06 ?        00:06:06 containerd-shim -namespace moby -workdir /var/lib/containerd/io.containerd.runtime.v1.linux/moby/fd0f440e223205eca5198b240c389e510e65fc45828467015c10139e34f24a39 -address /run/containerd/containerd.sock -containerd-binary /usr/bin/containerd -runtime-root /var/run/docker/runtime-runc
